Crop,Weight,Vehicle
39,234.4213688792761,0
39,774.7308672412934,2
39,1434.5904026967742,3
39,3211.0868381544856,1
49,288.6597068625546,0
49,846.2054869799374,3
49,1619.3914392575841,4
49,4086.975816791852,1
28,265.99120469753564,0
28,894.4449507280586,3
28,1708.1465181465214,4
28,3482.8946298198043,1
3,163.50986483906655,0
3,629.4775128714788,2
3,1305.1370438527244,3
3,2782.3642474963262,4
22,257.28343456964757,0
22,719.0352040854629,2
22,1498.9584959099634,4
22,2981.2349552486935,1
1,215.84387098450435,0
1,757.3814196879595,2
1,1194.2083525627934,3
1,2592.005607588307,4
38,229.9673081039645,0
38,790.2919488043863,2
38,1388.5140585953234,3
38,3104.4433294191954,1
16,248.30483651420073,0
16,721.2355589964078,2
16,1356.127800499674,3
16,2909.0881118362777,4
27,224.0926450094125,0
27,689.0110490702945,2
27,1253.3398254386145,3
27,2689.9954483384704,4
24,222.41062454782863,0
24,803.6060732849724,3
24,1562.923894413718,4
24,3309.600969702849,1
10,305.0565575635815,0
10,883.8656097198773,3
10,1612.8749289450427,4
10,3400.514536912972,1
35,307.32305465313925,0
35,773.6965115624464,2
35,1447.5915146273687,3
35,2996.310312163511,1
18,188.10883127273658,0
18,655.372095971572,2
18,1207.262608406359,3
18,2504.390471675227,4
4,204.5050281464193,0
4,717.1063997983006,2
4,1282.4762559248468,3
4,2917.9756650342792,4
25,219.32521913943444,0
25,811.1290106083347,3
25,1513.462858707665,4
25,3084.855772331605,1
21,192.51188186326172,0
21,591.0441251584552,2
21,1094.7766883165475,3
21,2410.857631553542,4
14,206.72490120870242,0
14,752.3140330868783,2
14,1410.532863040894,3
14,2781.2230995999626,4
15,239.7972899521402,0
15,770.1662234327988,2
15,1361.207093286298,3
15,2998.4575784298495,1
19,285.69407885476767,0
19,834.3929487574891,3
19,1702.5386608395988,4
19,3604.342332425845,1
30,263.4074415272125,0
30,684.6425984335611,2
30,1491.5234611705384,4
30,3118.4541721419996,1
43,280.6460329836495,0
43,893.3026323041513,3
43,1793.8085565233534,4
43,3995.8954186161363,1
45,253.85850666426472,0
45,810.2500854264275,3
45,1615.7287048971136,4
45,3308.873693046373,1
42,162.82451411032514,0
42,613.2226718541228,2
42,1182.6788251108383,3
42,2499.1069582012747,4
8,288.4514512094398,0
8,864.7064255263441,3
8,1717.4488775663049,4
8,3494.2491020948987,1
26,200.69430563975382,0
26,750.9368753333214,2
26,1396.129385968363,3
26,2906.4504344755005,4
41,223.42174103033597,0
41,768.70658494747,2
41,1518.6582981146892,4
41,3093.5734480429282,1
13,333.1170408374135,0
13,960.1211145706027,3
13,2009.6978454622413,4
13,4189.957504988552,1
44,388.4394078842156,2
44,1209.9859330308936,3
44,2511.0498658858514,4
44,4984.231520223717,1
23,314.2870538978742,0
23,866.3474146997743,3
23,1585.9315765280542,4
23,3413.3871141335303,1
47,284.8787119161565,0
47,819.1658727506941,3
47,1682.9011206921487,4
47,3611.857711847851,1
46,188.08240607710587,0
46,751.9502000585962,2
46,1299.29946279754,3
46,2795.6506720798384,4
12,232.5410607858518,0
12,790.89323626282,2
12,1382.1021362676465,3
12,3012.525858092638,1
40,287.2758849701551,0
40,880.6808274444317,3
40,1806.5293169386093,4
40,3694.079809242785,1
29,332.9566574974923,0
29,882.2832845968145,3
29,1606.8881561411422,4
29,3510.5006437613138,1
2,348.2904299395938,0
2,968.4788593995327,3
2,2083.924083609987,4
2,4808.543715113231,1
0,276.64122606979004,0
0,839.5327703912614,3
0,1717.514223419583,4
0,3597.4190301190224,1
17,238.92083509158329,0
17,793.9580158930943,2
17,1407.295712228106,3
17,3016.9518234252573,1
33,268.2594592148842,0
33,814.5140635400819,3
33,1489.7723491303911,4
33,3199.6699922716944,1
34,242.42794176226758,0
34,735.2559944485519,2
34,1339.2914927111235,3
34,2791.342744384734,4
20,240.09164051788665,0
20,740.2981072326735,2
20,1385.9168443165865,3
20,2989.92372462465,1
36,264.6403051353176,0
36,806.7520750757849,3
36,1709.9460798144996,4
36,3491.0575727032087,1
48,204.78244392907402,0
48,695.4219696440115,2
48,1295.046117869601,3
48,2707.445694073199,4
37,288.21135201829406,0
37,913.9543203971266,3
37,2003.0276624974963,4
37,4210.8913409198485,1
32,269.377157290443,0
32,838.2908214052294,3
32,1683.2678049535546,4
32,3492.746944595458,1
5,227.6786084210934,0
5,754.5721780474454,2
5,1409.9588099299049,3
5,2888.6235847870566,4
6,239.5704540107298,0
6,798.395837601312,2
6,1518.5792274514042,4
6,3088.2858901696927,1
9,246.20631766229732,0
9,836.0204270020232,3
9,1616.2302896437889,4
9,3317.520362020993,1
7,207.61391273946754,0
7,731.0019654923585,2
7,1300.854721230447,3
7,2806.8164346007925,4
31,203.04458967290316,0
31,774.3278202291781,2
31,1434.4548528304645,3
31,3018.348015247568,1
11,228.34604939301636,0
11,791.1315942477348,3
11,1497.1894432143945,4
11,3213.879659624717,1
