Crop,Weight,Vehicle
Apple,50,Auto / Small Van
Apple,200,Mini Truck
Apple,500,Pickup Truck
Apple,1100,Truck
Apple,3250,Large Truck
Orange,50,Auto / Small Van
Orange,200,Mini Truck
Orange,500,Pickup Truck
Orange,1100,Truck
Orange,3250,Large Truck
Grapes,50,Auto / Small Van
Grapes,200,Mini Truck
Grapes,500,Pickup Truck
Grapes,1100,Truck
Grapes,3250,Large Truck
Pineapple,50,Auto / Small Van
Pineapple,200,Mini Truck
Pineapple,500,Pickup Truck
Pineapple,1100,Truck
Pineapple,3250,Large Truck
Cabbage,50,Auto / Small Van
Cabbage,200,Mini Truck
Cabbage,500,Pickup Truck
Cabbage,1100,Truck
Cabbage,3250,Large Truck
Cauliflower,50,Auto / Small Van
Cauliflower,200,Mini Truck
Cauliflower,500,Pickup Truck
Cauliflower,1100,Truck
Cauliflower,3250,Large Truck
Brinjal,50,Auto / Small Van
Brinjal,200,Mini Truck
Brinjal,500,Pickup Truck
Brinjal,1100,Truck
Brinjal,3250,Large Truck
Capsicum,50,Auto / Small Van
Capsicum,200,Mini Truck
Capsicum,500,Pickup Truck
Capsicum,1100,Truck
Capsicum,3250,Large Truck
Groundnut,50,Auto / Small Van
Groundnut,200,Mini Truck
Groundnut,500,Pickup Truck
Groundnut,1100,Truck
Groundnut,3250,Large Truck
Sunflower,50,Auto / Small Van
Sunflower,200,Mini Truck
Sunflower,500,Pickup Truck
Sunflower,1100,Truck
Sunflower,3250,Large Truck
Soybean,50,Auto / Small Van
Soybean,200,Mini Truck
Soybean,500,Pickup Truck
Soybean,1100,Truck
Soybean,3250,Large Truck
Jowar,50,Auto / Small Van
Jowar,200,Mini Truck
Jowar,500,Pickup Truck
Jowar,1100,Truck
Jowar,3250,Large Truck
Bajra,50,Auto / Small Van
Bajra,200,Mini Truck
Bajra,500,Pickup Truck
Bajra,1100,Truck
Bajra,3250,Large Truck
Tea Leaves,50,Auto / Small Van
Tea Leaves,200,Mini Truck
Tea Leaves,500,Pickup Truck
Tea Leaves,1100,Truck
Tea Leaves,3250,Large Truck
Coffee Beans,50,Auto / Small Van
Coffee Beans,200,Mini Truck
Coffee Beans,500,Pickup Truck
Coffee Beans,1100,Truck
Coffee Beans,3250,Large Truck
Turmeric,50,Auto / Small Van
Turmeric,200,Mini Truck
Turmeric,500,Pickup Truck
Turmeric,1100,Truck
Turmeric,3250,Large Truck
Ginger,50,Auto / Small Van
Ginger,200,Mini Truck
Ginger,500,Pickup Truck
Ginger,1100,Truck
Ginger,3250,Large Truck
Cardamom,50,Auto / Small Van
Cardamom,200,Mini Truck
Cardamom,500,Pickup Truck
Cardamom,1100,Truck
Cardamom,3250,Large Truck
